"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6"
"1016","variable","Baner","","","Wymiar","200x100 cm, 300x100cm, 300x150 cm, 400x150 cm, 200x150 cm","Podłoże","Baner powlekany 460g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni, zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","1, 2, 3, 4, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50"
"","variation","Baner","id:1016","172.8","Wymiar","200x100 cm","Podłoże","Baner powlekany 460g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","1"
"","variation","Baner","id:1016","313.2","Wymiar","200x100 cm","Podłoże","Baner powlekany 460g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","2"
"","variation","Baner","id:1016","453.6","Wymiar","200x100 cm","Podłoże","Baner powlekany 460g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","3"
"","variation","Baner","id:1016","594","Wymiar","200x100 cm","Podłoże","Baner powlekany 460g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","4"
"","variation","Baner","id:1016","734.4","Wymiar","200x100 cm","Podłoże","Baner powlekany 460g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","5"
"","variation","Baner","id:1016","1436.4","Wymiar","200x100 cm","Podłoże","Baner powlekany 460g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","10"
"","variation","Baner","id:1016","2138.4","Wymiar","200x100 cm","Podłoże","Baner powlekany 460g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","15"
"","variation","Baner","id:1016","2840.4","Wymiar","200x100 cm","Podłoże","Baner powlekany 460g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","20"
"","variation","Baner","id:1016","3542.4","Wymiar","200x100 cm","Podłoże","Baner powlekany 460g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","25"
