"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6"
"1017","variable","Baner odblaskowy","","","Wymiar","200x100 cm, 300x100cm, 300x150 cm, 200x150 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni, zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","1, 2, 3, 4, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50"
"","variation","Baner odblaskowy","id:1017","273.236","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","1"
"","variation","Baner odblaskowy","id:1017","495.241","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","2"
"","variation","Baner odblaskowy","id:1017","717.245","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","3"
"","variation","Baner odblaskowy","id:1017","939.249","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","4"
"","variation","Baner odblaskowy","id:1017","1161.25","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","5"
"","variation","Baner odblaskowy","id:1017","2271.28","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","10"
"","variation","Baner odblaskowy","id:1017","3381.3","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","15"
"","variation","Baner odblaskowy","id:1017","4491.32","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","20"
"","variation","Baner odblaskowy","id:1017","5601.34","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","25"
"","variation","Baner odblaskowy","id:1017","6711.36","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","30"
"","variation","Baner odblaskowy","id:1017","7821.39","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","35"
"","variation","Baner odblaskowy","id:1017","8931.41","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","40"
"","variation","Baner odblaskowy","id:1017","10041.4","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","45"
"","variation","Baner odblaskowy","id:1017","11151.4","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","mam spełniający normy drukarni","Ilość","50"
"","variation","Baner odblaskowy","id:1017","375.7","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","1"
"","variation","Baner odblaskowy","id:1017","597.704","Wymiar","200x100 cm","Podłoże","Baner odblaskowy 550g","Rodzaj druku","Jednostronny","Wykończenie","wzmacnianie krawędzi i oczkowanie co 50 cm","Projekt graficzny","zlecam wykonanie profesjonalnego projektu (jednostronny)","Ilość","2"
